hw(rs1)+hw(rs2),HW
0,0
13,315
11,351
21,301
18,346
31,374
24,382
20,418
10,374
22,368
32,397
9,370
34,396
27,416
26,447
15,251
28,410
16,397
23,340
9,260
28,332
23,336
10,264
28,397
23,380
3,368
19,336
25,400
15,336
37,420
27,314
30,419
26,380
29,485
32,425
2,201
23,424
26,358
20,389
10,318
21,389
21,434
29,434
17,245
22,454
33,428
21,293
19,294
28,414
33,406
5,352
20,339
27,367
20,385
18,315
7,353
7,252
23,393
26,399
32,404
14,320
8,315
18,391
19,382
18,278
21,321
18,327
28,397
7,259
16,279
21,375
7,218
20,400
32,381
29,423
26,378
27,404
22,360
24,343
32,389
18,258
9,249
31,393
16,362
25,393
26,428
16,348
1,243
6,259
22,268
18,371
14,411
30,405
18,395
19,448
29,355
17,373
24,402
20,320
23,432
25,372
22,322
22,383
21,417
27,382
24,353
0,238
27,449
18,417
18,386
21,346
20,357
26,377
19,384
24,371
20,251
28,459
18,278
22,357
23,445
20,383
23,352
26,411
26,382
20,355
10,271
25,360
30,466
19,462
17,388
31,447
20,441
9,360
4,289
23,382
26,401
27,391
21,367
29,348
18,411
29,408
26,411
8,296
19,385
11,369
9,356
19,427
33,425
21,402
31,439
27,425
12,252
23,421
25,403
23,379
21,407
21,364
5,306
19,326
18,300
29,457
30,385
23,375
28,447
27,391
22,452
30,437
32,429
16,296
15,403
30,416
17,429
21,398
18,418
8,368
24,348
13,270
23,435
29,429
21,378
17,357
23,384
22,400
22,336
22,413
25,445
21,395
23,336
11,303
24,324
17,407
26,453
24,423
17,350
20,391
30,451
19,429
11,343
23,321
21,363
27,349
29,332
30,402
10,374
19,406
22,366
24,299
28,414
29,468
11,277
15,362
8,256
12,378
30,438
12,300
23,317
19,411
13,356
22,404
32,444
29,428
23,390
15,385
17,280
28,360
19,342
24,380
22,389
12,376
29,368
30,259
26,381
15,398
12,319
34,451
13,331
28,394
23,401
29,411
20,389
23,373
18,311
23,460
18,374
21,337
5,257
29,375
32,399
27,354
25,397
15,306
22,394
13,284
27,418
27,363
27,416
14,261
29,440
26,381
21,382
24,429
22,409
15,382
25,358
13,376
17,364
21,377
25,350
6,213
22,374
11,390
24,389
22,431
30,430
24,399
32,435
17,275
21,443
18,406
12,230
18,399
11,351
31,335
19,372
5,211
25,396
17,398
26,386
16,306
10,296
13,302
23,384
29,452
21,366
31,431
26,411
30,389
19,391
37,355
16,393
16,279
20,362
21,274
9,271
17,330
32,367
24,378
13,328
15,310
26,391
32,455
17,337
18,349
13,235
31,405
7,345
23,348
29,388
26,452
30,420
13,380
17,248
23,272
29,407
19,405
12,374
26,342
20,402
22,430
18,365
22,377
28,359
16,364
20,400
21,369
14,352
16,271
11,351
11,348
24,427
16,397
24,403
19,441
6,258
34,371
19,375
22,398
23,409
14,358
20,392
36,460
24,380
22,362
22,363
21,379
21,384
12,364
18,286
29,357
14,366
7,313
25,338
11,320
18,334
30,421
21,409
31,443
35,415
27,403
12,371
31,391
12,346
17,442
17,378
15,451
26,390
25,381
21,392
27,416
14,397
28,382
8,320
22,395
10,333
16,356
16,357
29,375
21,359
12,350
32,450
18,396
31,378
18,425
13,232
22,292
25,418
12,252
24,413
26,303
24,359
6,213
17,372
3,319
22,423
11,387
14,265
22,347
24,390
34,400
16,333
23,363
23,437
20,350
22,287
16,372
19,320
20,386
30,384
30,430
17,375
20,317
25,391
14,345
32,441
26,439
32,408
32,414
29,386
23,395
14,342
29,422
25,421
20,344
22,350
9,261
35,377
8,386
27,397
13,322
16,276
32,361
18,386
25,420
18,324
30,423
20,347
14,276
5,209
30,368
31,432
24,394
32,439
22,311
13,341
33,425
17,277
28,405
16,248
28,252
34,418
26,400
34,444
37,380
7,258
26,467
22,370
25,348
18,327
25,349
24,358
30,424
28,382
16,310
19,258
26,393
19,428
21,415
27,384
15,278
24,411
12,450
18,376
32,417
21,375
28,434
19,421
17,396
16,358
18,378
17,252
23,347
32,420
28,342
13,394
13,272
10,388
33,469
25,436
16,280
23,401
34,456
21,356
22,377
26,399
32,388
32,395
22,301
20,372
25,412
14,276
23,445
26,305
19,294
15,405
27,382
17,410
29,439
25,440
18,407
9,373
23,424
11,342
23,370
21,433
20,313
2,299
12,297
21,382
26,362
9,375
31,368
22,389
21,459
31,357
22,377
21,277
13,347
8,259
27,366
28,406
20,377
18,400
29,399
19,347
10,270
9,259
23,427
8,373
26,365
27,400
18,295
5,250
15,247
24,382
30,382
7,212
32,441
18,378
15,351
23,378
30,447
21,263
22,268
7,259
21,374
21,405
18,327
22,348
29,415
8,362
28,441
28,367
24,430
19,392
5,327
23,365
14,356
33,448
20,422
16,315
16,369
25,411
30,393
13,374
22,367
21,374
32,422
27,385
33,370
27,398
24,469
19,386
15,397
36,488
20,402
27,417
22,460
13,380
29,440
32,405
4,201
24,391
11,271
26,356
25,331
17,437
27,394
30,422
32,439
16,295
27,380
26,371
17,276
17,321
2,246
25,428
30,417
25,372
34,457
26,411
28,438
20,253
17,388
28,378
25,388
19,340
25,394
20,398
31,385
26,316
15,375
22,333
33,415
23,372
19,360
33,441
24,419
19,380
16,357
30,396
31,380
28,418
25,398
25,393
25,350
17,423
20,376
18,373
22,331
17,401
21,382
20,300
32,473
16,339
20,309
28,395
31,363
10,352
21,417
22,355
15,331
21,392
22,353
20,418
17,349
20,326
16,370
29,444
25,417
29,425
6,265
19,339
7,217
25,398
18,373
16,397
28,429
32,357
31,424
21,415
12,398
32,438
23,441
16,249
26,360
28,400
26,416
36,422
15,410
29,434
23,423
26,401
13,355
24,440
22,405
19,286
33,450
32,376
30,370
23,413
3,248
29,371
13,361
11,270
31,349
20,359
27,400
11,366
27,405
34,438
28,462
28,308
31,458
28,425
25,419
25,426
20,373
35,463
17,334
28,372
10,279
17,361
30,415
28,404
7,215
9,390
19,285
26,386
27,387
24,392
36,368
14,240
34,452
27,390
18,357
13,289
20,393
26,379
29,404
17,325
29,390
30,385
26,405
7,266
21,295
36,381
13,314
20,283
26,440
22,297
25,363
27,352
29,353
18,280
12,295
24,426
30,418
31,372
32,323
11,278
23,330
7,318
22,400
15,429
31,408
21,328
14,247
5,261
31,392
28,375
13,443
7,369
27,366
19,283
32,420
26,374
19,357
25,348
25,445
23,408
13,309
16,422
4,329
36,431
21,324
26,424
25,419
23,371
17,360
27,426
32,402
22,285
22,359
19,414
20,376
23,415
22,270
19,360
17,288
23,404
33,423
16,434
22,397
14,240
34,380
9,398
22,377
25,441
33,384
12,258
26,402
27,320
17,332
27,356
32,419
25,375
18,361
24,405
20,340
16,406
25,380
35,375
17,391
19,384
14,270
21,388
19,388
23,315
30,422
15,320
20,415
25,467
24,430
25,403
8,356
13,274
16,358
20,289
18,373
27,381
20,348
13,401
30,387
28,418
16,354
16,277
24,339
28,423
15,241
22,321
14,379
29,429
26,378
25,410
20,357
30,375
14,349
16,386
25,388
29,401
13,354
11,315
14,366
11,328
22,407
17,368
18,398
17,331
24,384
27,373
34,464
21,353
22,412
21,426
9,354
22,333
30,459
20,446
27,371
24,343
29,361
33,456
28,403
26,346
13,360
31,382
23,396
30,367
23,226
32,446
27,395
10,297
17,304
4,248
21,293
28,421
19,287
21,401
23,391
23,376
31,463
23,296
7,372
32,453
13,328
13,272
27,367
29,393
19,291
7,390
32,468
29,401
8,320
24,314
11,236
26,392
23,431
28,352
26,402
30,378
29,366
15,321
11,285
16,283
32,423
20,317
32,402
30,400
23,378
13,365
25,431
27,248
24,330
4,250
20,274
30,393
25,393
33,393
20,320
26,405
21,351
31,400
18,276
29,382
19,287
32,448
20,441
26,394
19,326
18,380
28,347
32,446
22,369
18,283
21,426
24,384
16,241
25,372
33,444
20,327
30,452
26,336
11,354
23,410
31,444
18,328
25,338
31,411
16,320
24,357
20,371
19,288
20,362
24,392
26,398
8,214
35,437
20,347
29,421
31,443
15,266
18,373
7,275
3,334
30,396
27,442
30,435
20,422
15,430
23,333
23,437
18,314
18,330
31,353
31,372
31,466
23,433
22,419
22,359
26,382
19,403
26,387
25,309
14,352
10,272
13,395
22,392
18,332
31,390
26,360
21,325
18,386
29,401
22,403
28,357
15,298
20,375
24,398
26,385
4,206
28,412
27,401
11,274
25,385
34,363
13,278
10,310
25,399
32,434
13,395
13,274
23,343
17,364
27,396
24,446
23,367
15,240
25,388
17,377
19,384
27,414
16,396
15,397
25,357
23,400
34,388
15,243
26,397
17,367
19,364
13,259
27,413
26,423
31,398
19,405
22,379
23,337
30,447
25,380
20,303
18,338
21,430
36,483
15,373
18,338
23,351
33,443
16,340
15,334
18,388
31,459
23,379
8,259
9,295
26,407
15,399
6,337
30,413
23,332
27,371
18,399
33,405
13,351
23,403
29,411
14,402
22,365
18,381
30,430
2,241
28,368
18,413
26,321
27,381
30,430
15,358
25,469
18,279
20,362
11,272
30,426
33,417
15,352
10,299
25,423
29,369
13,379
29,457
21,338
37,414
32,467
27,389
26,382
8,324
26,399
25,370
16,379
22,399
26,377
28,351
19,406
10,262
9,268
26,331
18,428
22,358
35,377
29,434
28,394
24,416
34,350
16,289
26,399
22,392
33,456
26,403
16,350
33,402
28,346
24,402
23,333
13,319
28,364
21,364
30,415
26,358
26,415
16,324
27,396
29,444
20,395
22,288
12,345
23,325
29,402
15,342
20,383
15,387
23,391
27,416
10,317
18,393
28,424
2,340
29,466
31,360
20,385
16,381
23,423
37,426
31,376
11,269
19,335
17,358
14,273
12,297
35,379
27,314
22,433
18,428
24,432
30,417
21,407
13,366
30,390
27,279
16,373
12,383
22,397
12,279
19,353
24,424
20,433
17,414
28,347
14,286
21,450
9,359
8,304
16,367
18,353
22,432
17,319
24,389
14,269
19,286
24,423
27,391
31,394
25,332
23,396
16,242
21,373
32,394
30,376
6,335
32,419
26,409
14,331
30,408
22,409
6,257
12,284
7,218
24,329
24,317
32,383
15,372
21,393
27,362
16,383
14,376
29,412
12,272
21,329
19,253
25,424
27,413
27,432
14,236
26,349
32,403
10,346
20,389
20,399
22,418
28,354
28,447
23,365
25,379
14,329
8,344
23,390
31,386
25,284
12,285
34,444
35,405
24,418
28,424
16,387
33,434
28,386
27,328
17,273
24,442
28,435
12,319
20,376
28,407
27,431
14,368
11,295
23,310
32,481
22,363
13,381
9,261
29,427
17,409
20,389
6,385
23,451
27,427
27,428
26,416
20,391
23,267
30,389
29,477
16,396
20,376
24,380
16,364
31,398
11,356
24,432
34,397
22,407
18,337
22,367
18,297
16,379
18,380
33,424
22,384
8,354
13,270
13,270
26,421
17,333
22,418
18,368
30,413
30,397
32,381
26,372
28,389
20,297
16,364
24,384
21,352
28,386
20,377
19,322
25,326
21,378
15,400
11,262
26,378
33,468
27,398
25,400
28,462
25,408
21,405
11,272
19,395
18,361
18,338
15,334
8,342
27,438
24,343
33,359
18,290
10,339
18,392
31,452
25,367
20,395
12,396
25,420
28,413
33,440
21,400
23,361
22,395
26,409
26,438
28,442
28,372
28,407
24,433
11,344
34,443
12,260
26,369
28,451
20,384
17,380
36,332
25,421
31,390
31,370
27,427
25,381
32,403
27,389
17,298
14,337
26,446
20,395
18,344
31,449
15,270
14,364
29,425
17,373
31,410
30,418
28,360
23,342
24,401
23,380
17,349
18,289
22,351
21,393
33,396
31,447
19,367
34,400
18,296
30,454
26,384
27,377
17,405
24,440
23,365
27,410
16,254
15,388
33,405
26,435
24,340
26,372
12,282
26,397
11,338
23,385
12,259
7,263
27,379
29,418
11,323
22,414
30,410
16,384
20,412
20,365
19,350
30,358
31,413
11,386
16,290
11,342
14,266
18,340
24,393
18,353
36,445
32,394
19,380
24,436
25,438
7,312
32,395
20,406
23,414
19,382
28,434
18,371
22,362
20,274
22,392
17,369
29,380
28,407
28,406
18,252
20,324
7,259
26,358
7,355
28,389
31,418
18,387
31,430
14,324
26,383
16,248
13,358
17,356
23,438
12,239
21,391
16,445
16,336
3,252
9,256
17,419
23,370
19,337
20,372
29,415
24,394
13,376
22,344
26,385
27,371
16,365
25,336
9,377
25,389
22,383
15,264
26,372
10,402
26,404
26,406
29,357
6,260
22,307
18,288
26,371
30,330
21,365
23,353
21,438
19,261
15,401
7,258
24,428
24,428
9,358
7,369
13,405
23,344
14,389
17,299
31,399
30,496
31,392
15,254
10,286
24,407
21,347
10,344
22,447
32,447
27,346
15,339
11,308
7,373
31,364
22,420
24,367
15,380
24,413
31,434
24,429
12,363
17,385
10,347
19,379
22,438
10,228
17,282
18,411
10,368
28,465
17,360
35,438
12,407
35,339
33,463
12,367
27,403
25,468
17,392
31,362
21,407
17,247
11,363
18,348
23,357
11,358
17,332
29,426
19,358
29,435
18,390
24,340
21,447
7,266
22,402
4,377
17,274
36,463
21,337
14,266
18,421
22,429
25,390
13,329
30,431
26,408
30,391
5,213
17,392
21,342
32,372
14,342
23,376
16,354
28,421
18,425
9,310
24,341
19,439
23,340
18,352
9,216
26,457
2,244
18,348
29,413
28,364
13,364
28,467
30,400
23,387
18,370
13,304
31,435
34,382
25,411
27,352
7,366
27,358
28,400
28,405
30,399
14,335
24,424
15,277
21,392
14,308
18,286
19,372
16,394
33,405
12,303
28,302
4,249
33,358
13,262
29,377
15,363
31,427
25,368
17,383
4,340
11,269
20,280
19,284
26,395
35,457
31,414
18,347
34,381
23,423
19,360
30,372
30,446
18,355
24,415
12,366
19,351
17,362
