hw(rs1),HW
0,0
22,148
9,143
10,157
23,220
3,85
22,189
23,159
1,51
3,69
24,198
16,196
2,90
22,179
12,192
7,155
19,106
11,179
8,119
1,59
10,126
3,79
22,196
10,181
6,157
16,186
4,142
1,48
16,151
13,146
4,85
6,128
21,154
13,188
23,214
8,157
0,18
11,117
2,63
21,180
9,178
23,217
15,210
12,179
11,154
11,155
18,198
20,178
1,25
15,180
24,179
8,146
22,182
9,150
15,187
22,207
26,182
7,87
7,149
1,55
8,167
24,195
14,170
24,215
22,190
10,172
16,206
9,88
21,207
14,206
1,47
21,216
21,160
24,207
20,188
6,127
11,206
27,229
4,113
11,179
5,109
21,194
3,79
24,204
15,201
3,71
24,216
19,202
20,204
19,210
20,202
24,205
16,187
24,215
10,158
24,196
5,86
3,89
8,147
0,16
15,107
19,184
21,209
17,199
14,211
0,14
4,142
13,148
3,134
9,174
23,219
10,153
12,133
22,181
25,221
18,191
5,158
26,175
13,176
22,212
21,172
6,152
7,171
10,166
13,173
1,48
4,129
3,84
20,161
25,206
12,206
20,177
7,166
18,167
24,217
17,204
10,183
2,74
14,203
14,200
1,58
23,191
22,189
10,158
24,168
27,234
13,153
12,157
2,89
18,175
13,150
22,221
4,125
22,170
11,174
7,84
0,18
25,223
12,159
15,188
9,95
21,220
26,195
17,179
10,166
13,184
2,85
0,12
12,177
23,118
13,196
22,218
9,138
10,158
24,232
1,37
20,201
11,196
11,190
18,154
11,93
16,164
10,168
18,215
11,151
4,135
0,18
6,113
22,210
23,175
17,210
14,185
25,177
23,118
0,12
6,153
5,71
23,182
3,115
5,137
20,218
22,126
16,193
11,157
11,200
8,133
3,94
4,117
25,144
20,206
24,210
3,97
24,216
17,152
11,179
1,47
5,129
19,197
7,175
24,217
5,134
19,178
18,164
3,70
1,36
21,201
15,105
4,102
12,195
3,72
5,100
10,168
1,37
23,222
21,184
23,152
22,200
17,190
19,183
21,211
21,198
21,202
22,165
22,209
6,116
23,172
9,144
11,180
22,199
15,101
0,16
19,208
11,148
19,212
17,148
25,213
24,184
9,181
18,180
17,171
22,201
3,96
19,210
25,194
23,216
4,111
18,148
17,141
26,200
8,132
14,99
11,186
1,37
24,169
4,136
0,16
21,166
26,229
2,77
21,171
11,182
0,18
20,187
5,149
23,223
19,207
13,202
23,172
20,210
16,204
26,226
24,189
14,164
22,212
12,194
20,204
10,185
10,204
8,154
7,166
12,204
1,59
2,75
23,183
16,200
6,106
17,173
16,184
18,111
5,136
17,184
20,117
18,211
10,157
17,166
23,223
9,135
5,101
22,219
23,222
17,207
7,79
12,188
5,99
15,181
16,203
5,117
21,198
25,229
19,157
6,165
24,220
13,175
0,14
13,177
2,90
27,242
25,174
22,146
5,129
15,179
25,233
17,111
19,174
14,194
4,100
10,101
5,139
1,48
