hw(rs1)+hw(rs2),HW
0,0
22,134
23,136
16,105
13,92
15,100
18,121
6,85
18,125
30,143
11,55
19,133
24,155
24,127
33,172
20,128
33,145
29,152
24,132
18,114
30,151
13,116
20,127
28,132
23,123
21,121
27,144
13,103
26,137
13,97
10,103
26,133
25,139
27,131
28,147
23,121
17,114
23,146
33,149
27,133
25,133
8,88
10,108
9,80
15,101
19,125
35,138
24,149
17,111
25,147
30,133
19,99
27,157
29,147
16,112
30,135
21,148
16,106
29,130
29,119
28,134
15,90
20,130
26,134
35,147
14,92
18,130
27,124
6,90
23,103
22,148
14,115
16,102
14,73
26,122
26,134
27,137
29,152
21,130
6,96
23,118
22,120
35,154
20,122
9,112
14,107
5,78
16,90
25,147
23,118
16,126
19,107
6,79
23,133
23,111
23,144
33,150
15,99
27,118
22,132
23,118
19,109
31,155
14,99
16,107
21,98
15,108
13,104
23,147
19,123
31,141
15,122
21,115
16,100
35,149
25,121
30,129
10,105
20,131
28,139
22,100
18,109
15,95
15,110
28,138
35,176
8,89
28,135
26,124
10,66
28,130
24,150
28,129
32,147
23,153
21,134
19,116
27,149
18,120
30,148
28,138
19,102
17,109
20,130
11,99
23,131
15,124
28,143
19,126
15,118
20,123
22,129
11,92
31,153
33,147
25,134
6,79
31,149
16,99
25,140
20,127
27,132
20,117
28,115
25,124
8,116
30,134
25,141
25,134
19,125
13,88
27,147
20,128
34,161
7,98
9,88
6,72
31,154
17,98
10,104
16,109
21,104
15,112
23,123
29,135
18,103
35,147
34,155
19,99
25,119
15,101
17,100
14,113
10,102
11,89
24,108
11,91
23,146
25,142
5,64
26,121
21,102
36,154
19,127
26,136
24,154
7,84
23,153
28,140
15,123
20,109
15,126
33,145
26,140
22,137
14,108
20,131
25,120
16,97
27,106
1,30
33,151
15,122
26,152
23,133
22,118
16,118
23,143
21,126
15,93
31,136
8,94
17,109
20,117
25,112
26,125
24,141
15,141
23,126
17,118
22,112
25,133
20,125
24,121
21,119
29,135
22,104
23,133
9,90
19,104
26,119
24,140
12,68
10,72
19,114
22,115
10,102
21,119
30,137
8,72
32,153
23,133
17,128
13,92
15,78
30,151
14,107
16,103
32,157
31,160
23,142
30,150
20,117
